peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,673c3f0f842a,673c3f0f842a,673c3f0f842a,"dmc_group_indexer",,,,,
localhost,673c3f0f842a,673c3f0f842a,673c3f0f842a,"dmc_group_kv_store",,,,,
localhost,673c3f0f842a,673c3f0f842a,673c3f0f842a,"dmc_group_license_master",,,,,
localhost,673c3f0f842a,673c3f0f842a,673c3f0f842a,"dmc_group_search_head",,,,,
